Treatments,min_current_fps,max_current_fps,mean_current_fps,mean_allocated_ram,mean_average_fps,mean_reserved_ram,mean_mono_ram,mean_cpu,mean_slider,median_slider,max_slider,AmbientOcclusion,Bloom,ChromaticAberration,ContactShadows,Fog,MicroShadowing,MotionBlur,ReflectionProbe,ScreenSpaceReflection,ScreenSpaceRefraction,Tonemapping,Vignette,WhiteBalance
" MotionBlur,Fog,ScreenSpaceRefraction,WhiteBalance,MicroShadowing,ScreenSpaceReflection ",33.86673,34.14682,34.006775,144.17865,33.483635,180.3516,19.572270000000003,7.03125,-18.09524,-18.09524,-18.57143,0,0,0,0,1,1,1,0,1,1,0,0,1
" Tonemapping,ContactShadows,MicroShadowing,MotionBlur,ChromaticAberration ",58.85122,60.00312,59.42717,141.7946,33.582930000000005,180.3516,17.44336,16.53646,43.33334,43.33334,43.80953,0,0,1,1,0,1,1,0,0,0,1,0,0
" Bloom,Tonemapping,ContactShadows,Vignette,Fog ",54.11548,54.11548,54.11548,144.6858,33.56218,180.3516,22.03516,10.9375,50.0,50.0,50.0,0,1,0,1,1,0,0,0,0,0,1,1,0
" MicroShadowing,Vignette,Bloom,ScreenSpaceReflection ",53.97149,60.00852,56.990005,147.0157,33.573409999999996,180.3516,19.09766,10.546876000000001,46.428574999999995,46.428574999999995,50.95238,0,1,0,0,0,1,0,0,1,0,0,1,0
" AmbientOcclusion,Fog,ChromaticAberration,Bloom,Vignette ",30.73169,30.73169,30.73169,147.5808,33.47084,180.3516,22.75391,9.114583,-56.19048,-56.19048,-56.19048,1,1,1,0,1,0,0,0,0,0,0,1,0
" AmbientOcclusion,Bloom,ScreenSpaceReflection,MotionBlur,MicroShadowing ",59.2691,59.2691,59.2691,146.3475,33.58231,180.3516,20.60547,10.28646,100.0,100.0,100.0,1,1,0,0,0,1,1,0,1,0,0,0,0
" Tonemapping,Fog,ScreenSpaceReflection,ReflectionProbe,Bloom ",40.06458,40.06458,40.06458,148.9421,33.50729,180.3516,18.48047,10.41667,100.0,100.0,100.0,0,1,0,0,1,0,0,1,1,0,1,0,0
" ChromaticAberration,Bloom,ScreenSpaceReflection,WhiteBalance,Fog ",24.4503,32.04882,28.253466666666668,149.42576666666665,33.461156666666675,180.3516,19.17578,9.375,-58.09524,-58.09524,-58.57143,0,1,1,0,1,0,0,0,1,0,0,0,1
" AmbientOcclusion,Tonemapping,Vignette,WhiteBalance,ScreenSpaceRefraction,ChromaticAberration ",59.92833,59.92833,59.92833,146.7969,33.58489,180.3516,22.79297,9.114583,29.04762,29.04762,29.04762,1,0,1,0,0,0,0,0,0,1,1,1,1
" ScreenSpaceRefraction,Vignette,WhiteBalance,MicroShadowing,AmbientOcclusion ",59.99952,59.99952,59.99952,149.4632,33.58517,180.3516,21.28906,12.10938,-56.66667,-56.66667,-56.66667,1,0,0,0,0,1,0,0,0,1,0,1,1
" ChromaticAberration,ScreenSpaceRefraction,ContactShadows,WhiteBalance,Tonemapping,AmbientOcclusion ",58.96957,58.96957,58.96957,148.3728,33.58114,180.3516,20.32031,10.41667,35.71428,35.71428,35.71428,1,0,1,1,0,0,0,0,0,1,1,0,1
" ChromaticAberration,Bloom,AmbientOcclusion,WhiteBalance,ContactShadows,ScreenSpaceReflection ",52.50943,52.50943,52.50943,152.2108,33.55591,180.3516,19.28516,12.10938,-48.57143,-48.57143,-48.57143,1,1,1,1,0,0,0,0,1,0,0,0,1
" Fog,ScreenSpaceReflection,ReflectionProbe,MotionBlur,ChromaticAberration,ContactShadows ",29.96829,30.368,30.168145,152.21710000000002,33.46864,180.3516,17.50586,6.640625,58.095240000000004,58.095240000000004,58.57143,0,0,1,1,1,0,1,1,1,0,0,0,0
" MotionBlur,ReflectionProbe,WhiteBalance,Fog,Vignette,MicroShadowing ",26.34942,26.34942,26.34942,152.8773,33.45372,180.3516,20.96875,10.41667,47.61906,47.61906,47.61906,0,0,0,0,1,1,1,1,0,0,0,1,1
" WhiteBalance,Fog,Bloom,ChromaticAberration,ScreenSpaceRefraction ",31.0347,31.0347,31.0347,151.6576,33.47202,180.3516,18.05469,10.67708,-44.76191,-44.76191,-44.76191,0,1,1,0,1,0,0,0,0,1,0,0,1
" Vignette,MicroShadowing,ReflectionProbe,AmbientOcclusion,WhiteBalance ",60.00096,60.00096,60.00096,152.5686,33.58517,180.3516,22.83203,10.9375,55.71429,55.71429,55.71429,1,0,0,0,0,1,0,1,0,0,0,1,1
" Fog,WhiteBalance,AmbientOcclusion,Vignette,Tonemapping ",44.40063,44.40063,44.40063,154.1452,33.52423,180.3516,20.36719,10.9375,-55.2381,-55.2381,-55.2381,1,0,0,0,1,0,0,0,0,0,1,1,1
" ReflectionProbe,MotionBlur,ScreenSpaceReflection,Vignette,Fog ",28.89247,28.89247,28.89247,154.391,33.46365,180.3516,18.14453,10.28646,-45.71428,-45.71428,-45.71428,0,0,0,0,1,0,1,1,1,0,0,1,0
" WhiteBalance,MotionBlur,ScreenSpaceReflection,ContactShadows,ChromaticAberration,Vignette,AmbientOcclusion ",60.00348,60.00348,60.00348,153.7425,33.58518,180.3516,21.26563,10.80729,-21.42857,-21.42857,-21.42857,1,0,1,1,0,0,1,0,1,0,0,1,1
" Tonemapping,ReflectionProbe,MotionBlur,MicroShadowing,Vignette ",59.99808,59.99808,59.99808,154.0985,33.58516,180.3516,20.91016,10.41667,40.47619,40.47619,40.47619,0,0,0,0,0,1,1,1,0,0,1,1,0
" ContactShadows,Vignette,ReflectionProbe,ScreenSpaceReflection ",48.33043,48.33043,48.33043,156.9169,33.53958,184.3516,18.25781,13.15104,-45.71428,-45.71428,-45.71428,0,0,0,1,0,0,0,1,1,0,0,1,0
" ScreenSpaceReflection,ScreenSpaceRefraction,MotionBlur,ContactShadows,Tonemapping ",46.7198,46.7198,46.7198,159.0479,33.53329,184.3516,17.37109,9.114583,37.14286,37.14286,37.14286,0,0,0,1,0,0,1,0,1,1,1,0,0
" ContactShadows,Bloom,ScreenSpaceRefraction,Vignette,ReflectionProbe ",60.07125,60.07125,60.07125,156.9918,33.58545,184.3516,21.99219,11.97917,45.2381,45.2381,45.2381,0,1,0,1,0,0,0,1,0,1,0,1,0
" Bloom,AmbientOcclusion,MicroShadowing,ChromaticAberration,WhiteBalance ",50.03052,50.03052,50.03052,159.9041,33.54622,184.3516,20.17969,12.5,-45.71428,-45.71428,-45.71428,1,1,1,0,0,1,0,0,0,0,0,0,1
" ReflectionProbe,ContactShadows,Tonemapping,ScreenSpaceRefraction,Vignette,WhiteBalance,AmbientOcclusion,Fog,ScreenSpaceReflection ",36.51287,36.51287,36.51287,160.4476,33.49342,184.3516,18.82813,9.505208,70.95239,70.95239,70.95239,1,0,0,1,1,0,0,1,1,1,1,1,1
" MicroShadowing,ScreenSpaceRefraction,ReflectionProbe,MotionBlur,Bloom,ContactShadows,WhiteBalance,AmbientOcclusion,Tonemapping ",59.99952,59.99952,59.99952,160.4301,33.58517,184.3516,22.51953,11.58854,68.09525,68.09525,68.09525,1,1,0,1,0,1,1,1,0,1,1,0,1
" ScreenSpaceReflection,Fog,Bloom,Vignette,MicroShadowing,ContactShadows,ChromaticAberration ",35.96204,35.96204,35.96204,161.8194,33.49127,184.3516,20.48438,13.41146,-100.0,-100.0,-100.0,0,1,1,1,1,1,0,0,1,0,0,1,0
" ReflectionProbe,Bloom,Fog ",41.24511,41.24511,41.24511,161.2535,33.51191,184.3516,18.04297,9.375,30.47619,30.47619,30.47619,0,1,0,0,1,0,0,1,0,0,0,0,0
" Tonemapping,Bloom,ScreenSpaceRefraction,ReflectionProbe,ScreenSpaceReflection,MotionBlur,Vignette,ChromaticAberration,ContactShadows ",46.27808,46.27808,46.27808,163.372,33.53157,184.3516,21.94531,10.54688,36.19048,36.19048,36.19048,0,1,1,1,0,0,1,1,1,1,1,1,0
" Vignette,Fog,ScreenSpaceRefraction,Bloom,ScreenSpaceReflection ",32.93406,32.93406,32.93406,163.7693,33.47944,184.3516,19.78125,9.244792,-72.38095,-72.38095,-72.38095,0,1,0,0,1,0,0,0,1,1,0,1,0
" MicroShadowing,WhiteBalance,Bloom,ScreenSpaceRefraction,Fog,AmbientOcclusion ",29.92068,29.92068,29.92068,164.0705,33.46767,184.3516,17.57813,8.463542,-25.71428,-25.71428,-25.71428,1,1,0,0,1,1,0,0,0,1,0,0,1
" WhiteBalance,Fog,ChromaticAberration,MicroShadowing,MotionBlur ",35.75668,35.75668,35.75668,164.949,33.49047,184.3516,20.75391,9.635417,16.19048,16.19048,16.19048,0,0,1,0,1,1,1,0,0,0,0,0,1
